,,,,,timestamp,ship_status,vendor,vendor_site,product_webpage,delivery_type,product_description,product_model,product_id,delivary_status,code,currency,price,tax_rate,shipping_charges,notes,city,state,zip_code,country_code
1,3/27/2018 0:00,S01-2970486-3134650,1803191GMJ,20180320,2018-03-26T22:52:12+00:00,Shipped,Amazon,Non-Amazon,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Unshipped,2,NULL,NULL,NULL,NULL,NULL,Sacramento,CA,95811,US
2,3/27/2018 0:00,S01-8607694-9038860,47b6fd09-7397-47eb-bdc3-0830ba3f1127,20180315,2018-03-16T00:18:19+00:00,Shipped,Amazon,Non-Amazon,amazon.com/dp/B07B1KTYV3,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Red,Majide-Juul-Red,B07B1KTYV3,Shipped,1,NULL,NULL,NULL,NULL,NULL,SPARKS,NV,89441-5810,US
3,3/27/2018 0:00,S01-5091642-1332417,d2da8f6c-4cf0-49f6-9b2a-b3b5caca7047,20180315,2018-03-16T22:16:11+00:00,Shipped,Amazon,Non-Amazon,amazon.com/dp/B07B173SNB,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Grey,Majide-Juul-Grey,B07B173SNB,Shipped,1,NULL,NULL,NULL,NULL,NULL,MOBILE,AL,36608-2256,US
4,3/27/2018 0:00,S01-3120942-4088438,0bd8152d-071c-40fd-9df1-4d7ec7b48af3,20180315,2018-03-16T20:27:49+00:00,Shipped,Amazon,Non-Amazon,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,NULL,NULL,NULL,NULL,NULL,EDMOND,OK,73034-9537,US
5,3/27/2018 0:00,S01-6339563-0155669,6bf329ca-360a-473c-b20d-6203cc12ba36,20180308,2018-03-09T10:07:51+00:00,Shipped,Amazon,Non-Amazon,amazon.com/dp/B07B1L7YSW,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Blue,Majide-Juul-Blue,B07B1L7YSW,Shipped,1,NULL,NULL,NULL,NULL,NULL,LITTLE ELM,TX,75068-6031,US
6,3/27/2018 0:00,S01-7160722-6825225,f365140a-3b89-4c1f-95a1-0459627e1590,20180308,2018-03-09T03:30:52+00:00,Shipped,Amazon,Non-Amazon,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,NULL,NULL,NULL,NULL,NULL,SANTA FE,NM,87507-2767,US
7,3/27/2018 0:00,114-5004502-2069829,114-5004502-2069829,20180326,2018-03-26T01:28:56+00:00,Pending,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Unshipped,1,USD,9.99,NULL,NULL,NULL,LEWISTOWN,PA,17044-8027,US
8,3/27/2018 0:00,111-8110214-2985025,111-8110214-2985025,20180326,2018-03-26T20:09:04+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,WORCESTER,MA,1604,US
9,3/27/2018 0:00,112-5228824-6076204,112-5228824-6076204,20180325,2018-03-26T21:06:25+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,STATEN ISLAND,NY,10310-1555,US
10,3/27/2018 0:00,112-4768887-8405844,112-4768887-8405844,20180325,2018-03-25T22:18:55+00:00,Pending,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Unshipped,1,USD,9.99,NULL,NULL,NULL,IRVINE,CA,92620-3611,US
11,3/27/2018 0:00,113-2831567-3388267,113-2831567-3388267,20180325,2018-03-25T20:04:51+00:00,Pending,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Unshipped,1,USD,9.99,NULL,NULL,NULL,OTTAWA,KS,66067-3145,US
12,3/27/2018 0:00,112-9925743-2594651,112-9925743-2594651,20180325,2018-03-26T10:23:58+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,LONG BEACH,CA,90802-2045,US
13,3/27/2018 0:00,113-5654854-2698669,113-5654854-2698669,20180325,2018-03-25T04:02:14+00:00,Pending,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Unshipped,1,USD,9.99,NULL,NULL,NULL,BELLEVUE,NE,68005-4324,US
14,3/27/2018 0:00,112-3412220-3993017,112-3412220-3993017,20180325,2018-03-26T04:18:35+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,SEATTLE,WA,98102-6072,US
15,3/27/2018 0:00,112-5366428-2227433,112-5366428-2227433,20180324,2018-03-25T06:43:10+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,NASHUA,NH,03062-2287,US
16,3/27/2018 0:00,113-2640371-1557801,113-2640371-1557801,20180324,2018-03-26T22:44:50+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,BOGUE CHITTO,MS,39629-9393,US
17,3/27/2018 0:00,112-5795000-8145805,112-5795000-8145805,20180324,2018-03-26T00:16:52+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,Las vegas,NV,89142-1221,US
18,3/27/2018 0:00,112-7862531-6192226,112-7862531-6192226,20180324,2018-03-24T18:54:09+00:00,Cancelled,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Cancelled,0,NULL,NULL,NULL,NULL,NULL,Las vegas,NV,89142-1221,US
19,3/27/2018 0:00,114-3906761-0608207,114-3906761-0608207,20180324,2018-03-26T00:57:35+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,KINNELON,NJ,07405-2881,US
20,3/27/2018 0:00,114-4529323-2749047,114-4529323-2749047,20180324,2018-03-24T22:27:37+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,Standard,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,5.99,NULL,STATE COLLEGE,PA,16801-5431,US
21,3/27/2018 0:00,114-9543387-7565055,114-9543387-7565055,20180323,2018-03-24T07:15:28+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,ASHEBORO,NC,27205-4275,US
22,3/27/2018 0:00,111-7266915-4974616,111-7266915-4974616,20180323,2018-03-24T03:34:24+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,League City,TX,77573,US
23,3/27/2018 0:00,113-6790328-3959421,113-6790328-3959421,20180323,2018-03-23T23:24:06+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,ANDOVER,MA,01810-4260,US
24,3/27/2018 0:00,113-5100008-2589022,113-5100008-2589022,20180323,2018-03-23T23:24:17+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,SecondDay,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,ANDOVER,MA,01810-4260,US
25,3/27/2018 0:00,112-0194137-0015417,112-0194137-0015417,20180323,2018-03-23T19:00:38+00:00,Shipped,Amazon,Amazon.com,amazon.com/dp/B07B1235MH,Expedited,Majide Ultra Thin JUUL Vapor Case with 3-in-1 Protection Technology and Hybrid Drop Protection - Never Lose Your JUUL Again! - Pink,Majide-Juul-Pink,B07B1235MH,Shipped,1,USD,9.99,NULL,NULL,NULL,Sunrise,FL,33323-2987,US
